"wallet,""total_points"""
"0x000c7b30b021f554b989ee4c6b39d0f1b2afcdbc,""16863"""
"0x000db842b726805c60c19ffb578ddee5b16add00,""596"""
"0x000f7ca4c26d4bdcf3a1ec7778fd51909dfcbc70,""3412"""
"0x001538c7a99f5924c38a821b6a9908d2740475ef,""43"""
"0x00194c8f203d448d5dcfa9dabb34fcbe5021fd80,""1667"""
"0x001ae3c2a3db774d77c1e205b368cca6f3440c3b,""43"""
"0x001cdf580b24fce257c6b63b24e999b74587c7a3,""5832"""
"0x00211a8b3084b1e7c8d514ab960f3d2d05a9deb8,""17243"""
"0x0029888d425f2193f148a10d0053e42ee22e0cea,""123"""
"0x003da75a6485094b8e889451d84e2e3f8995329a,""412"""
"0x006a5c084c1bbd8ed23c390ca032ee91901ad1d8,""263"""
"0x007838893c0920a4e11b8ef528a869fdcd939e4e,""309"""
"0x007cbe7cb5e9d3bd9f8627b9155385a20a637104,""878"""
"0x0086fe4cefd0c98a1e0ca6f9a30445ce60e6209c,""808"""
"0x008a860b90aecacf2a9579129a26d0263c8bc272,""43"""
"0x00a31c3554104ab30f5cde16fea7ca1c9b506c8c,""1058"""
"0x00c56ad4c91e2a70c24fa292dbfb25300ca2389e,""43"""
"0x00c63130ed93977f50fb5ee52f5bee0df02b15b1,""1078"""
"0x00c6e8731ba6132b40b75e37d1e32c6932330c3b,""613"""
"0x00d27af47ea7553dd31174276bbcce16e3b096e8,""43"""
"0x00dbb907c0ebe3c1d7274836acd60561a83552f5,""16123"""
"0x00f41f8c493d8c846b7391b71b07dcc4960da529,""43"""
"0x00f45d6e154a9fb11bae30333c838aac3ec3e2cc,""16883"""
"0x010096ca6e87fc3b0ba62fb3913d2033e42f0369,""43"""
"0x0139b53c36bf062cca150e47373a306542f2f0b5,""659"""
"0x0150e1c0bdf4f79125584d7010edab117fc926af,""283"""
"0x015a20c2839da174ebaf18f28efc2242414beda9,""11978"""
"0x015b590f8b52cbcda0dd386d73a8e32373ed39cf,""43"""
"0x018f9069f3c810a4afce306a125961e7513375f4,""163"""
"0x0195cd284ccaa8f67a58b8d90468dd44c5208a86,""542"""
"0x01a1d70b5ed2bfe85198d0b9c5368694a98798b6,""43"""
"0x01a6801d2b31bf8bf8934b4054ad943019700f15,""817"""
"0x01b6ff3f369fc0da32a0a0cbb8a0f0f63d5f0856,""726"""
"0x01b837fe331ce33c3906fc93a883824a34e0dcc4,""163"""
0x01b9a3e56e0dd9a86b5e3c598d5465c238152f4a,NULL
"0x01d80503691384f78bcefd95bccd076bd7b0901c,""43"""
"0x01ede65ab85ef84c4c7e9299f5bd31d4bf39d5fa,""263"""
"0x01f0a8df8e48797d3b6b6f38df80a8fd80b6a4aa,""744"""
"0x0208fb63f69d22a2502531e168f23d57b448b9ca,""10409"""
"0x021a03f3a039ee2772f6cdae9c8ec36f9b08716a,""13878"""
"0x021aa437efe2ea084aa8c85a6ee723f03efac6a2,""66"""
"0x021b0715d4c7822f52c021d0b3def37e893e5a99,""66"""
"0x021c016dd91264381053e87a2181d4db12015c77,""43"""
"0x022c6966a666d69e53023fcb2b02e32b87037583,""43"""
"0x022ee586c5133864c706672eec3128ae462d6985,""30088"""
"0x024632a3878a592fdfe990c2bf82c83645c4342b,""1505"""
"0x026cd56f7b866e1f303c710e41152412958f5fbf,""923"""
"0x02784d86478e67d13616dd0cc360d8642f7120e1,""15705"""
"0x027f48511e8cbb5e35179e2c784eee778f9412b8,""365"""
"0x02800f4922b104126839f8279de32ba670d89363,""13423"""
"0x02897c00014a1fd020b0c73d60f14a42c2a93442,""43"""
"0x02958e3f1165ffeff7c988108f01f87f786b0302,""66"""
"0x02a1a4513cf9e8876f813dfa362fb0f5c9cc319d,""43"""
0x02c1659f2861d31e0d04370da140ac5dde061aad,NULL
"0x02c6239b37b0f3e296a737555fd5dc21e9bc90f1,""3172"""
"0x02e440220749a2df57dcda935b1f8e35fcf9184a,""43"""
"0x030ff40ce04448fa842481a5476922cb69b39b28,""43"""
"0x0319c8bb24dcde0bad532001e8125416f96e426a,""1563"""
"0x031aa58b17770eab1dda1d2761dc1d525031d2be,""736"""
"0x032fc05a82829fdbd97c9ee7c2039ee95bcee76d,""401"""
"0x0332e999241bd546cc30ecf5b054c59d3588b0b4,""43"""
"0x036153ab611206f70038743a68a3cf51c3ddd339,""2126"""
"0x03855180f4aab42da2e3c16b96f7cb71139e2a04,""1058"""
"0x038e866f7c2c04a54c5be3b3924add122ff17931,""14143"""
"0x039e7aba257a70e322314279c73a9f5f13040e4d,""639"""
"0x03a89c3219774eb971277e4b764732fb24639bdd,""183"""
"0x03ad7580bb1c2de7468db265f8c96221da18a18e,""725"""
"0x03ad83d9372b88c38ea19f5de9cf491d8a21dd0f,""808"""
"0x03b03c737c41631dd194ee2e27788bf797fd89de,""43"""
