"wallet,""total_points"""
"0x770157fb36574e784f51d642704ca0ede473e45a,""17143"""
"0x770181cd124467ebfecccc6f263fa8512c1cfb0e,""183"""
"0x7704a557c54acddfc5388f77fc3c4295de197b98,""17341"""
"0x77344294b7d0bdf41313135ae2b47de49af72b1c,""43"""
"0x773c50bbc6ced49bb8d5d1f4197ec3a399d49fcb,""6572"""
"0x773c600decfc4ef5d7c785ce673de1b4bd0e87f0,""186"""
"0x7747293f64a6e0984a2de206abbe3e9fb70294a0,""17803"""
"0x774fa2c5a6569808c394d7b9ff0c012cc1af1e10,""103"""
"0x77643f5ee5277ce0f51896984dfa83cb7b20dea8,""263"""
"0x777154f008430d6a53bfd5f2c6187235b43abf1b,""183"""
0x7772e7e41c3C33F964300FcBA0f29381aa6D6e74,NULL
"0x7773d404b7e0160930e275b8e29409ea36ab13f0,""283"""
"0x779eb798defb31fd0e4c01721a06ebef13b27308,""742"""
"0x77aa013380cb25a7384f6d4d435c6fd2f11b467d,""43"""
"0x77aac6ba0a3264decd70cb1ba1239dff06f07fc2,""14843"""
"0x77b748dcef01735fd02b97dfe2a8186cd5d2776e,""14143"""
"0x77b97a905abe7606c2bea32c5004dadf3528be86,""1506"""
"0x77dbae9f926fb3a1d5a76afee4f698a878556977,""18083"""
"0x77fcd3d421b95a8471a717c72d89fe1221f7026c,""14783"""
"0x780cf83ae26597b5fca8c581111c57805b7ca01b,""43"""
"0x7827f7a4b57b89683b09e19793138b2f3f9fed41,""424"""
"0x78858f202da42ecd87fa0109cb2bc9096d4772f0,""43"""
"0x788600c8f6662c95838f24406b301d4512a2a1d6,""43"""
"0x788daed55977ee6f7fe3f66bcb5a85bcf5ed7f8f,""43"""
"0x78be6e507e0ad084a6ac49e8e233568821cd5b73,""4229"""
"0x78c06dad1eb56fbf9a7027f51dcc673d3be8fe78,""18183"""
"0x78cb33b2ba8a5365fc56a40f871bc046a6b6182c,""453"""
"0x78cb7048b0d858f61ff134d71463c77ad37fe743,""43"""
"0x78cc67ab5fdaec2598b69faea8e3482b48d870f7,""263"""
"0x78cf0062598eae8cfac1d11299d2896ecdbcc121,""263"""
"0x78dfce4d40bc8758ce83fc7f4fb455213aeea09e,""163"""
"0x78dfe92f461febaf057f88070eb9cf28d55012a1,""206"""
"0x79068708ee13ecfc0614bc0cdd4d0e7364e744a8,""89"""
"0x7907a3bb2763a97e5e5337116326c8eb8bb374d1,""855"""
"0x7908cc00182cedc9992aa122296648b5579defdb,""263"""
"0x7921af9a9f1a91c641eb9ba7cb79c360ed2182d5,""554"""
"0x79661d8e5a4cfe37f74ff78aa0d01ae048f07c0e,""1663"""
"0x7966dc4f256684eec0663d3dc3dd99c4a4ee9535,""323"""
"0x7968cfcdc1c8d6ca2152476e01cb95677937d759,""412"""
"0x797c1b7866cd316bcfc910e492ca352f816f7f99,""283"""
"0x798c04b29a1bb8d7c5c84a9b7499afe00d55323a,""3269"""
"0x7992028678f5d532295033d2cea49fc1e15b0a36,""9169"""
"0x79a5bf2138316d2191a5b15cc7f7e62e7023cc98,""166"""
"0x79b57e2abb0874bb0e0616e63992c120b55d077a,""1069"""
"0x79bb0a0c40c09689ddbbb808e4a6ed7718949f9f,""26744"""
"0x79d5c83fa0c17510626c7ef7967b862af2e9f1be,""16663"""
"0x79de590105d84fe87aee91036b398766f4d66fe4,""83"""
"0x79e3ce987daf8aca4a953d110a02ae0019df188f,""112"""
"0x79f0ecac98e6a54ae97fbe774e46e99d4f567585,""855"""
"0x79f3c8759bcd86978761e9fea0c10647099c1db2,""263"""
"0x79f671fdf88e178a17ef466ce1c170368d3d0cc2,""2343"""
"0x7a199fd58b568b953d2e7e6b4ace0040a4563c09,""15883"""
"0x7a213edd64b793531f66426679be894cc47511a6,""306"""
"0x7a251141e6ad7ab99fd6c0178fa31adb3b5b8c5e,""17343"""
"0x7a30cee58cc8720aeddae0d7f5c4ed96e6c06cad,""163"""
"0x7a3843f3d79748d7df65e74e5d86102f8dae8c9b,""103"""
"0x7a3e4116981edf6bde2c273ad749e0216bf9e7d9,""163"""
"0x7a47795e2f76ae4361ed4fcba26b752836a7c77d,""26610"""
"0x7a47fedfc46526f980602240f9c704e2239a7432,""103"""
"0x7a5a05643718c26bcb4d101305abd3fc54c6dabf,""43"""
"0x7a5b89c67e1b55b05c4b12272e03af9141845da2,""43"""
"0x7a5cc3d497802529546a9eed9330085f22e118e7,""1523"""
"0x7a88f2f8fa9fed459dfc8b8ff40de3a848fa232d,""103"""
"0x7a94a359f5157c8751dd3c5b95901b18941dacdf,""980"""
"0x7a9d411b40825d5c8c94cdc9d527f4a1591256ff,""1183"""
"0x7aa180ffa1d5320d9f8f5bd561a07163b6722260,""43"""
"0x7aa5dff50c2b2ebb65a82c3e4978441d38933a94,""349"""
"0x7aa89d5d985760e6827afacbba59dec1d5333285,""263"""
"0x7ab88b0c26768923032bab948571986768c884a9,""510"""
"0x7ab9df68fd50d823318ac11c1ef100b07341db25,""1397"""
"0x7ad770232c700615d81f031ac0584de189a6d775,""263"""
"0x7b177252ad2a066f0aef8c53bf8ff0bebca67289,""83"""
"0x7b2d1556d243ee1dd1060c2fa2955926dee208a6,""343"""
"0x7b2d9c9dfa95e242b1d41b210fe6e89675642286,""716"""
"0x7b3663e2b7ba1313b34440fc1073ac903e91007d,""13043"""
"0x7b3bf624d144e70b7dac92c59475fdcd31ff232b,""183"""
"0x7b3ec1c8e4f32f0655d790d5934f7a84de528522,""1060"""
"0x7b4767cd082719d7f9732bbf36727300a233f36f,""89"""
"0x7b49579b8f570b6eb5fdd0395bb4dfd8054ae933,""163"""
"0x7b53e666666c2b4e28f44469701e02ed48afd585,""163"""
"0x7b5a4c23f288470cf696410746adb9f147b1b06b,""43"""
0x7B60c98eE7BBEC0340ad3C89dc9f58219EC989fB,NULL
"0x7b6bf580f7dc329ab6aa4c9f43f27572debc3a9b,""163"""
"0x7b7e62f6caafe0b60008a54e4a4b051e7c0d7d11,""83"""
"0x7b82d9f17d7ba02b6b59f614f9c35dff1ee2b1df,""163"""
"0x7b8e1f1e11705123ff5eef04c0949c977d31f237,""1143"""
"0x7b932ea629108a87bdf96a89b5ab06d70dc502bd,""243"""
"0x7b9b6dc39d20c759db5955d0e8daf4ea25c7ae40,""11763"""
"0x7bb367510fa4b79858b76105036e6b9f76902759,""18063"""
